Comments,Periode
Terawan ini minta data sama Anies. Pakar pandemi kenapa ngga dimintain data?,September
Kenapa  bantuan  dari  pemerintah  masih  d pilih2  kenapa  juga  bantuan  nya  turun  dari  RT   dulu  kenapa  tidak  langsung  warganya  yang  d  beri  bntuan  yang  kena  dampak  virus  ini  semua  g  ada  pandang  bulu  kenapa  bantuan  ny  masih  d pilih2   sama   RT  ny  tolong  dong  mata  nazwa   yang  dari  tanggerang   mauk  tidak  adil  dalam  membagi  bantuan  untuk  desa,September
Mentri2 jokowi sekarang pandai2 sekali,September
Pak Jokowi, tolong segera lockdown pak. Klo mau sakit biar sakit sekalian, tp stlh itu beres. Kami warga saat ini ibarat sedang sakit keras dan butuh dioperasi. Meski operasi itu sakit tp menyembuhkan. Drpd hanya sekedar dikasih obat penghilang rasa sakit tp penyakitnya ga sembuh2. Skrg sdh hampir 2 bulan kami sesama warga saling membantu memberi makan. Tp klo bgini trus2an, akhirnya uang yg kami korbankan untuk berbagi dgn warga yg tidak mampu pun akan habis tetapi mslh virus blum jg beres2. Tolong pak Jokowi. Jgn biarkan kami orang2 ekonomi kelas menengah sampai tinggal rupiah terakhir baru kalian lakukan lockdown. Klo bgini akhirnya kaum ekonomi bawah dan menengah sama2 mati kelaparan karna kalah napas. Kami sangat sedih  pak, setiap malam berdoa air mata rasanya sulit ditahan merasakan hidup di kondisi seperti saat ini.,September
kerja nya bikin panik warga 62 aja ni bu nazwa ??????bantu dong pemerintah dengan doa dan berita yang baik agar Indonesia terbebas dari corona ,bukan terus terusan nyalahin pemerintah ????????,September
Corona diwuhan tp disini gk mau antisipasi. Menganggap enteng dan takabur... Akses internasional malah gk ditutup... Ingat suspek pertama dari mana...,September
Sudah tau di negara komunis Cina terjadi endemik penyakit Corona virus, ada sebagian orang malah meremehkan dan mengundang wisatawan dari negara sumber penyakit. Jadi kalau sekarang di RI terjadi pandenik Covid 19 yang dampaknya sangat merugikan masyarakat salah siapa, sudah begitu  Bapak Anis Baswedan berjuang sebaik baiknya agar penyakit tidak menjadi pandemik malah di buli habis habisan.,September
Seorang ilmuwan/peneliti 99% tidak akan bisa memimpin publik, contoh konkrit BJ Habibi, Jadi kalau di jadikan pejabat publik harus dipikir ulang karena bukan habitatnya harusnya dikembalikan ke habitatnya,September
Kalau ingin nanganin cepat ya lockdown. Pemerintah masih takut rugi gk ada kemasukan.,September
Makanya jangan pilih presiden yang nggak punya otak..,September
CORONA...COMUNITAS PECINTA RONDO MEMPESONA...HOAX TU CORONA,BIKIN SUSAH RAKYAT AJA LHOO....,September
Kurangnya Kesadaran Warga di Pademi Corona lebih baik Jam Operasi KRL dan Kendaraan Bermotor (Mobil dan Motor) Kecuali angkutan Mobil Box Truck,  dibatasi mulai pagi Jam 6.00-09 sore Jam 15.00-18.00 diluar jam tersebut semua kendaraan bermotor dilarang Beroperasi Di seluruh JABODETABEK,September
Seperti nya  pak Anis sudah mulai bijak,  mantap. Tpi kok mata najwa jadi mulai aneh ya,  saya tdi nya sangat respek sama mata najwa kok sekarang jadi nggak. Bu yg mempersulit siapa?,September
bln ini mumpung ada program pembebasan napi.. maka silahkan buat kalian yg geram dgn pemerintah pusat lontarkan aspirasimu wkwkwk.. semoga kalian puas...????,September
salut sama kedewasaan berpikirnya pak anis open minded  dan gak nyala-nyalahin.,September
Nazwa mancing2 pengen membenturkan antarpemimpin... cuma gagal. lama2 narisi pengen jadi provokator kynya,September
Gua kira PSBB itu (ide) dari pemerintah pusat, ternyata dari DKI ya...? Kya BODETABEK yang malahan ngikutin Jakarta bkn atas pemerintah pust...? Perasaan gw gtu ya wkwkwk,September
Bonus pemerintahan sekarang adalah para pemimpin didaerah-daerahnya punya kompetensi sebagai leader, pemerintah pusat hanya sebagai formalitas sebagai birokrasi saja.,September
Anies Baswedan mantan anggota Palang Merah Remaja kemudian jadi  gubernur yg tugasnya melayani warga, jadi ud latihan bermasyarakat. DAAAN  joko wi petugas partai yg bekerja sesuai perintah kalo nggak ada perintah mana ada respon ! ? Tunggu perintah DONG,September
sekali kali pengen liat pak presiden muncul di acara acara seperti ini, memberikan statement dan penjelasan tentang semua kebijakan yang diambil dan menjawab pertanyaan pertanyaan kritis yang diajukan secara langsung, kurang puas rasanya kalo cuma denger dari jubir jubir...,September
Kang emil joss cara memberi staintmen nya beda jauh ama gub dki yg Mbulet,September
habis gelap terbitlah terang........... next warga indonesia akan bijak memilih mana yang bijak dan mana yang Tidak..... insyaaallah akan datang pemimpin yang benar2 bisa memimpin dengan adil dan bijak untuk rakyatnya. semoga dengan kejadian ini...... semua rakyat indonesia akan lebih cerdas lagi memilih pemimpin untuk masa depan negara kita. amin....,September
Welcome to Indonesia...Statment para Gabenor lagi mudah aku fahami dr statment Presiden Menteri Kesihatan...,September
Pemimpin Dunia , yang tidak peduli sama Rakyat nya di bongkar oleh Corona,September
apakahh indonesia ini akan musnah...????,September
Coba atuh ,presidennya ikutan diskusi ,,,mba nana,, pngen denger tanggapan pak presiden di sini ,,,September
Pemerintah harus perhatikan tim medis melengkapi APD, fasilitas tempat tinggal dan makanan sehat.,September
Semua orang berharap pirus ini tdk menyebar keseluruh indonesia dan cepat berahir namun klau obyek2 pital tdk ditangani dan diawasi dgn baik oleh pusat mka daerah2 akan kewalahan dgn kewenangan,September
Bukan berbelit belit,,,tapi biar duit apbd daerah keluar,,,korbannya rakyat kecil lagi,,,,September
kemenkes hrsnya tau diri mengundurkan diri ckckckckckck gak pernah mau di tanya2in ttg pandemik wadadidaw sdngkan dy yg paling lambat sidak ke rs2 liat kesiapan dr januari, ngapain ajaaaaaaaa,September
Pak president pak wakil president ,pak Menkes pada kemana yah...,September
Pak Anis biar saya wakili kalau emang bapak gak mau bilang bahwa pemerintah pusat nyatanya tidak peduli dengan rakyatnya karna selalu memandang remeh ketika ada masalah yang menyangkut pada masyarakat.,September
P anies sekarang darurat kesehatan rakyat,September
P anies selamatkan rakyatmu tdk usah menunggu kebijakan pejabat lain yg tdk bertanggung jwb,September
Indonesia butuh seribu jurnalis sprt najwa shihab....setelah menkumham saatnya menko maritim di koreksi najwa shihab....bravo najwa shihab,September
Kesimpulan nya ,lelet yang bagian ngurus makro kesehatan,September
LELANG JABATAN PASTI UNIK...,September
Jadi pejabat kan modalnya besar jadi urusan bagi bagi bantuan ya berbelit.... Waktu pejabat cari suara pon rakyat berbelit... Introspeksi diri,September
Pak Anis lebih bijak ...nanggapin ..pertanyaan mbak Nana..seorang pemimpin yg cerdas ga mau nyalahin orang lain...sebenernya masalah Corona ..ini murni kesalahan pemerintah..yg lamban antisipasi ..terlalu sombong ..dari awal,September
Pak Terawan mana ya?! Semenjak pandemic cov19 pecah d indonesia beliau, tak nampak lagi, Mbak Najwa Requezt dong undang Pak Terawan di Mata Najwa,September
Menkes kemana yaaa??? gak pernah muncul memimpin penanganan Covid19!!!,September
Pemimpin sesungguhnya... Atau Superhero itu muncul saat kondisi genting pelik Pak Anies bergerak cepat, depan camera or operasi senyap pun sangat kita rasakan koq... Pak Anies...Anda superhero...,September
Isu dunia yang ditangani cara lokal..,September
Macam Mana yaa...kalau laa CORONA ITU bisa di tangkap sudah lama di ringkus ..??..tp Kan ngak mampak ,??,September
Mendingan ini menteri kembali jadi dokternya calon orang kehilangan akal sehat aja....,September
yg ditanya pa anies terus nanti difitnah cari panggung..mbo ya yg lainnya  yg terbelit dan terlilit elektabilitas,September
Mata najwa telat..pa gubernur dulu lagi sibuk nana malah diem..udah parah baru ikut heboh..seandainya dulu pd nurut pa gubernur lain cerita.. Begitu lo mba nana dan yg lainnya,September
SEMUA negara ( asia, eropa,amerika) tdk ada yg mengerti cara menangulangi virus ini krn virus baru yg belum dimengerti cara berkembangnya. jangan terlalu menghakimi pemerintah. BERPIKIRLAH apa yg kamu buat untuk  NEGARA, LINKUNGAN DAN BANGSA INI. Pemerinta juga sdh bekerja maksimal bukan tdk perduli sm rakyatnya.,September
KECEPATAN KURANG KETEPATAN??????,September
rapat koordinasinya aja itu si menkes gak ada ...,September
pemerintah pusat lepas tangan... wilayah bertindakan sendirian...,September
