Time;Periode;Comments
2020-04-11T11:21:30Z;September;"Awalnya takabur<br> &quot; Indonesia bebas Corona, orang Indonesia tahan Corona krna ini itu,&quot; sekali masuk kena 1 org, penyebarannya g terkontrol. Menkes nya ketawa ketiwi bikin guyonan soal Corona. Skrg ngumpet dan g ad ide yg cemerlang dri menkes"
2020-04-11T09:54:12Z;September;"&quot;Kemenkes tidak datang teleconference, menarik!&quot; dari ekspresi mbak Nana, I feel you too mbak."
2020-04-11T09:45:34Z;September;Wanted Bapak Terawan.<br><br>Dicari Bapak Terawan yg Terhormat!<br><br>Anda dimana? Dengan siapa? Sekarang berbuat apa?
2020-04-11T09:27:46Z;September;Mff jngn 100%menyalhkn presiden,krn presiden melakukn ini itu jg atas data menkes,,menkes yg dr awal terlalu bhkn sangt2 terlalu santuy ,,,,,,sekrang kedodoran,,aplgi yg di daerah,,,,
2020-04-11T09:03:19Z;September;Salut sama pak Ridwan Kamil yg nyedian bahasa isyarat, ingat mereka juga punya hak utk informasi2 penting ini. At least klo gaada penutur isyaratnya, adain text sepanjang acara. ??
2020-04-11T08:24:32Z;September;"Jelaslah pemerintahan pusat jokowi leleeeet, lamban. menyia-nyiakan waktu 2 bulan januari-februari 2020. dengerin mentri ngomong :&quot;cuaca indonesia panas virus cororna mati sendiri, tak akan ada wabah corona dll&quot;. tambah lagi bukan karantina tapi PSBB. PSBB leleeeet lagi. DKI cepat tanggap, di awal februari sudah bergerak. anak sekolah belajar di rumah. dah sekarang PSBB, beri rakyat indonesia makan. keluarin uang 500 Trilyun. selamatkan nyawa rakyat daripada ibukota baru. beri sembako yg rata pada yg hilang penghasilannya. Jangan dikorupsi !!! mata jeli, korupsi jangan diberi hati"
2020-04-11T07:57:28Z;September;buat gubernur ridwan kamil<br>gak usah bapak mikirin masalah arus mudik yg masih lama pak, puasanya aj blm.. udah mikirin mudiknya.<br>mending bapak fokus gmn caranya supaya masalah ini selesai dgn cepat bahkan berusaha sebisa mungkin selesai sblm ramadhan tiba, itu lebih kami hargai divanding bapak bicara MUI hrs mengharamkan mudik, gak nyambung pak yg lg divahas itu corona dan bapak sebagai pemerintah di tuntut untuk bagaimana menghadapi masalah corona ini bkn malah melebar ke mana mana....<br>bicara untuk hari ini dulu jgn yg blm kita hadapi dibahas nanti ujung2 nya telat trus kebijakannya..
2020-04-11T07:51:44Z;September;menurut perkiraan<br>76605 orang di kali 3% = 2298,15 orang<br>serem juga kalau kenyataannya seperti itu tp yang tercatat 168 orang, alahmdulilah berati sisanya mungkin sudah sembuh, dan turut berduka cita untuk yang telah wafat
2020-04-11T06:11:55Z;September;"Coba kalo sekarang gubernurnya ahok, mungkin kebijakannya beda:&quot;)"
2020-04-11T04:34:35Z;September;mengelola negara kebanyakan gimik. negara gini mau protes aja klo di underestimate. lah memang under kok pada protes bukannya sibuk berbenah.
2020-04-11T04:27:45Z;September;Daripada berbelit..lebih baik kita minum kopi kapal api, bisa menyembuh penyakit corona..??
2020-04-11T04:27:33Z;September;Udah . . . jgn pd khawatir . . . corona bisa sembuh sendiri . . . sembuh dengan cara mati sendiri
2020-04-11T03:22:06Z;September;Saya pmilih jokowi,,<br>Senang dgn ahok..<br>Tapi kalo benar2 apa yg d wacanakan ma pak gub jakarta...<br>Jangnlah menutup mata dgn kputusannya dan jangan malu apresiasi,,<br>salut p.anies.??????
2020-04-11T02:40:05Z;September;Seperti yang sudah saya duga Januari lalu. China dalam 2 minggu bikin RS, Indonesia dalam 2 minggu keputusan aja didebat tanpa ada ujungnya. Hari gini diktator lebih diperlukan.
2020-04-11T02:21:10Z;September;Bapak jokowi yg terhomat...klo bapak gak bisa ngurusin negara/gak sanggup mending mundur saja pak.... Kasihan rakyat pak dikorbanin terus... Mendingan bpk ngurusin......!!!
2020-04-11T02:04:36Z;September;Ibarat anak kelas 6 SD disuruh ngerjain tugas anak SMA, ya seperti ini lah kejadiannya.. kualitas itu tidak bisa dibohongi dan saat seperti inilah diuji..
2020-04-11T01:59:01Z;September;Siiip,dan gak salah.  Najua ini mmg pembawa sekaligus penyampai yg khusus di jontrak oleh saudaranya yaitu anis bas edan. Kan sama2 ktrnn kadron. G prn ada berita najua tntg propinsi lain selain jakarta.  Tau kan emang jakarta aja. Msh bnyk lagi yg lain.
2020-04-11T01:47:42Z;September;Corona, sebuah drama media dan data.<br>Suka2 amerika inggris italy mau bikin kematian ribuan atau juataan. Are real?
2020-04-11T01:36:45Z;September;Keliatan bodohnya gubernor maling ni.kalao yg kena firus golongan babi2 berjenggot2 gpp.
2020-04-11T01:25:03Z;September;Inget di beribatasan malah jalan2 , di larang pulang kampung malah pulang jadi jangan salah kan pemerintah tapi salah kan diri kita dahulu bahwa kita tidak bisa di siplin diri sendiri.
2020-04-11T01:04:20Z;September;Mana menkes nya, kok nggak muncul ?
2020-04-11T01:02:27Z;September;Itulah akibat dari meremehkan dan tidak transparan dari awal. Belum lagi ditambah beredarnya informasi yg tdk bertanggung jawab dan pembodohan yaitu imun tubuh kita lebih kuat karena terbiasa makan jorok,  makanan berformalin dan gorengan plastik.   Jangan hanya mau menerima yg sedap didengar yg belum tentu benar dan menolak kebenaran yg pahit
2020-04-11T00:54:26Z;September;Menurut ane perhitungan Bpk Sulfikar Amir dari NTU dengan membandingkan Jakarta dan kota2 yang disebutkan apa sudah memperhitungkan berdasarkan data WNA yg masuk ke Jakarta ketika kasus itu terjadi dibandingkan dengan kota2 yg menjadi pembadingnya? Sebagai contoh antara thailand dan italy pun dengan jumlah penduduk yang kira2 sama tapi jumlah kasus  yg di data bisa jauh berbeda...
2020-04-11T00:45:09Z;September;Ini seakan2 pusat lepas tangan, jd hanya daerah yg aktif menangani covid. Apa guna status bencana nasional donk..<br>Ini ni yg sy kecewa...
2020-04-11T00:34:25Z;September;Hahahha. Pusat sama daerah aja g sinkron.
2020-04-10T23:26:33Z;September;Gini pak gubernur seharus nya orang asing masuk ke indonesia wisatawan misalnya itu harus dikarantina dulu 2minggu sblum orang asing itu berbaur dgn masyarakat indonenesia jgn main nyolonong aja gk diawasin..dibandara terutama..harus ketat..trus pemerintah pusat juga gk serius menangani virus ini seharusnya udah disiapkn tmpat karantina bagi orang asing..
2020-04-10T22:24:01Z;September;Di tengah kesulitan rakyat seperti ini rakyat sdh menyadari mana pemimpin yg  cerdas sangat pro rakyat
2020-04-10T22:20:39Z;September;Kualitas pemimpin ilmu nya urus yg genting gaya rendahan urus uang pinter
2020-04-10T22:12:16Z;September;Harusnya pemerintah sadar, bahwa byk rakyat yg sdh kesal sm pmerinthn jokower. Cb ngobrol lnsg sm rakyat pasti sm jwbannya.
2020-04-10T22:11:41Z;September;Dari awal udah di beri tau malah di anggap enteng ama mereka dsar dungu , kita doa kn saja semoga corona nya ke para pemerintah , Luhut dan rezim biar mereka mmpus semua dgn corona
2020-04-10T21:27:24Z;September;Mulai dari BPJ* sampai Corona bisa dinilailah
2020-04-10T21:13:49Z;September;"Kalau dari argumen Dr Rafly Harun menggambarkan betapa &quot;pekoknya&quot; dan dungunya pemerintah pusat"
2020-04-10T21:06:06Z;September;Najwa : kita bicara jakarta mas anis,  gak usah bicara yg lain. <br><br>Heee heee<br>Pusing najwa liat jawaban anis
2020-04-10T20:54:26Z;September;80% hancurkan gedung bebas corona
2020-04-10T19:59:12Z;September;Saya puji prestasi Pak Ahok, Pak Erick, Pak Basuki serta Ibu Mulyani. Keempat tokoh ini telah mampu menunjuk kan kemampuan mereka sebagai “leaders” yang cukup berprestasi, kreatif dan resourceful,.....apalagi dengan keadaan yang semakin sulit seperti sekarang ini. Sehubungan dengan tokoh2 pembantu Presiden yang lain nya,......mereka itu ibarat nya seperti “pemain figuran/extra” yang kerja nya cuma menongkrong saja,....maaf, tapi ini adalah kenyataan.                                      <br>Ada lagi saat ini, berkembang suatu gejala cukup memprihatinkan. Pada  saat  kita  sedang  perlu-perlu  nya  persatuan  serta kesatuan  dalam  memerangi  pandemic  Covid-19,  kesan nya,  Republik  ini  malah  saling  terkotak-kotak.  Pada  saat yang  bersamaan,  bagi  rakyat,  persatuan  serta  integritas bangsa  bukan  berarti  melaksanakan  kewajiban  serta  hak bernegara  tanpa  “ketidak  sepakatan.” Kokoh  nya  persatuan  serta  kesatuan  bukan  berarti rakyat  harus  “meng  iyakan”  kebijaksanaan  atau keputusan  pemerintah  yang  tidak  benar.  Didalam  sebuah negara  demokrasi,  “kebenaran”  yang  sifat  nya  hakiki  itu tidak  ada!  Semua  kebijaksanaan  adalah  suatu  hasil  dari analisa,  pertimbangan,  wisdom  dan  musyawarah.  Oleh sebab  itu,  dalam  demokrasi,  keabsahan  dari  suatu keputusan  pemerintah  bukanlah  suatu  eksklusif monopoli  kubu  atau  partai  politik  manapun.  Dengan  kata lain,  hanya  rakyat  lah  yang  berhak  dan  dapat  me legitimasi  kebijaksanaan  pemerintah,  bukan  badan badan  legislatif  yang  sedang  berkuasa.  Bukan  hanya  itu, pihak  yang  mendapat  amanat  dari  rakyat  akan “kekuasaan,”  harus  dengan  legawa  menerima pertanyaan,  analisa  serta  kritik  atas  segala kebijaksanaan  yang  pemerintah  itu  sendiri  keluarkan, tanpa  berprasangka!! In  a  Democracy,  “check  and  balance  and  also accountability  from  possessing  power”  are  a  must! Apa  yang  terjadi  di  negara  ku  tercinta  akhir-akhir  ini sehubungan  dengan  pandemic  coronavirus?  Ada  suatu  perkembangan  yang  cukup  menghawatirkan,  yaitu adanya  kecenderungan  pada  sebahagian  pejabat pemerintah,  tokoh  masyarakat,  media  masa  serta  para “buzzers”  pendukung  pemerintah  pusat  untuk membangun  suatu  narasi  bahwa  seolah-olah  berbagai kelompok  lapisan  masyarakat  dari  berbagai  penjuru  di seluruh  Indonesia  yang  tidak  sepakat  dan  melontarkan kritik  keras  adalah  seolah-olah  “anti  pemerintah,  lawan politik  dan  perlu  dipertanyakan  loyalitas  nya  terhadap bangsa  dan  negara.” Tidak  percaya?  Silahkan  anda  lihat  sendiri  berbagai macam  comments  baik  di  media  masa  maupun  social media.  Bagaimana  berbagai  tokoh  masyarakat,  tokohtokoh  pemerintah  daerah  yang  tidak  sepaham  atas kebijaksanaan  pemerintah  pusat,  serta  rakyat  biasa  yang mengkritik  serta  memiliki  pendapat  yang  berbeda dengan  pemerintah  pusat  dalam  hal  penanganan pandemic  Covid-19.  Berbagai  macam  bulian,  hujatan “anti  pemerintah”  serta  “intimidasi  hukum”  melanda  bagi siapa  saja  yang  berani  membuka  suara.  Sekali  lagi  saya tekankan  bahwa  hal  ini  sedang  terjadi  di  Indonesia dalam  suatu  kerangka  “narasi  dan  kecenderungan.” Saya  bukan  seorang  yang  naif,  saya  tahu  dan  percaya bahwa  memang  ada  “sekelompok  oknum”  yang  selalu mencoba  memancing  ikan  dalam  kekeruhan,  tapi  bukan berarti  rakyat  dan  setiap  kelompok  yang  mengkritik kebeijaksanaan  dan  mempertanyakan  kompetensi pemerintah  dalam  penanganan  pandemic  Covid-19  itu adalah  “lawan  politik”  yang  tidak  setia  kepada  persatuan serta  kesatuan  Republik  ini.  Justru  sebaliknya,  saya serta  jutaan  rakyat  Indonesia  seperti  saya  ini  sangat mencintai  Indonesia.  Mohon  kita  semua  ingat,  bahwa kecenderungan  sebahagian  rakyat  Indonesia  dalam “meng  idolkan  figur  tokoh  pemimpin”  di  atas  kerangka hukum  serta  nilai-nilai  demokrasi  (yang  antara  lain adalah  kebebasan  melontarkan  pendapat,  kebebasan pers,  kebebasan  beragama,  dll)  adalah  sangat berbahaya  dan  amat  disayangkan.  There is a thin  line between democracy  and  authoritarian. Yang  terakhir,  perlu  diketahui  bahwa  saya  adalah  salah satu  dari  sekian  puluh  juta  rakyat  yang  mendukung beberapa  kebijaksanaan  strategis  pemerintah.  Pada  saat yang  bersamaan,  ada  juga  beberapa  kebijaksanaan yang  saya  tidak  sependapat.  Salah  satu  diantaranya adalah perihal  penanganan pemerintah  terhadap pandemic  Covid-19  yang  menurut  hemat  saya  adalah lambat, setengah-setengah,  kurang  transparan, rancu  dan  tidak  efektif.  <br>Hari ini, CNN Indonesia baru saja memberitakan bahwa Indonesia adalah salah satu dari negara paling rendah di dunia dalam pengadaan tes coronavirus.                          Berikut kutipan dari CNN Indonesia: “Berdasarkan data referensi statistik Worldometer per Rabu (8/4), Indonesia yang merupakan negara dengan penduduk terpadat keempat di dunia ini baru melakukan tes terhadap 14.354 warga.<br>Data itu menggambarkan bahwa hanya 52 orang yang menjalani tes corona dari setiap satu juta warga Indonesia.  Angka pemeriksaan yang rendah itu pun dinilai sejumlah pihak mengejutkan mengingat Indonesia merupakan negara dengan tingkat Gross Domestic Product (GDP) tertinggi di Asia Tenggara. Jumlah GDP kerap dijadikan patokan standar hidup sebuah negara. <br>Sementara itu, angka pemeriksaan corona Djibouti, salah satu negara kecil di Afrika Timur, bahkan lebih tinggi dari Indonesia. Negara itu sejauh ini telah melakukan tes Covid-19 terhadap 2.229 warga. Populasi penduduk Djibouti tidak sampai satu juta orang.”<br>Point nya adalah, pemerintah harus menerima dengan legawa kritik para ahli jntuk kemudian melakukan re-evaluasi dan instrospeksi diri dalam membuat kebijaksanaan. Kenyataan yang ada sekarang adalah, pemerintah pusat cenderung bereaksi secara defensif dan melalui para “buzzer-buzzer” nya malah menyerang, memojok kan bahkan meng intimidasi melalui proses hukum (dengan berbagai macam dalih hukum) berbagai tokoh masyarakat dan rakyat yang berani mengeritik. Sungguh sangat disayangkan and shame on all of  you who play “cheap politics”  and  use this crisis for political gain.
2020-04-10T19:58:00Z;September;Nanti klo PSBB gak epektif baru LOCKDOWN.<br>Dimna situasi sudah telat pnyebaran sudah tidak terkontrol,<br>Gak percaya liat aja.<br>Dimna konsumsi masyarakat sudah menipis.<br>Yang menang yang uang nya tak ada seri,<br>Mudah2an teori saya ini salah amin,
2020-04-10T19:51:56Z;September;Sejak awal, saya berpendapat bahwa Pemerintah tidak kredibel dalam menangani pandemic Covid-19. Seperti nya dari mulai awal pemerintah gagal tanggap bahwa pandemic ini serius. Pada waktu pemerintah mulai sadar bahwa ini adalah sangat serius, sudah telat!! ———— ITB Ungkap 32 Ribu Kasus Corona Tak Terdeteksi di DKI
2020-04-10T19:49:46Z;September;"+62 benar2 LELUCON.<br>Masalah kesehatan selesai, ekonomi &amp; sosial mengikuti otomatis.<br>Bukan ekonomi dikedepankan, masalah kesehatan ga selesai2, malah ekonomi jg ga selesai2.<br>Simple begitu malah dibikin ribet."
2020-04-10T19:37:09Z;September;Kenapa serasa kepala2 daerah malahan yg lbh cepat tanggap penanganan wabah ini ya....?pusat lelet ky ??
2020-04-10T19:30:47Z;September;Pemimpin secara de jure bukan berarti juga secara de facto. Kelihatan kualitas pemimpin disaat genting seperti ini. Salut
2020-04-10T19:25:11Z;September;Mungkin kalau yg urus Najwa ngga berbelit, coba deh diurusin, mungkin lebih beres dr pemerintah tp... mampu ngga ya dia ?? kalau cuma omong dan kritik doang, semua orang bisa ya
2020-04-10T19:24:49Z;September;jgn selalu bicara menyalahkan satu sama lain. Ni lah akibat sok pinter sok benner sendiri.
2020-04-10T19:22:15Z;September;Contohi Malaysia<br>Fasa 1 pemantauan<br>Fasa 2 kawal penularan <br>Fasa 3 pemulihan<br>Fasa 4 pembersihan<br>Fasa 5 pembebasan<br>Itu 2 bulan 10 hari.<br>Corona bisa menjadi tsunami seperti Amerika Italia dan lain2 yang kita saksikan sendiri.<br>Kenapa harus berpolitik pada saat nyawa jadi taruhan.<br>Tidak hairan kalau jumlah korban mencapai 1000 jiwa jika corona d anggap enteng.
2020-04-10T19:21:52Z;September;"Kok pada kecewa sama pemerintah pusat siih?... Kalo kata bob sadino: &quot;kalo gak pengen kecewa jangan berharap&quot;, lagian pada berharap sih lu pada.. hihihi"
2020-04-10T19:12:00Z;September;Sepi suasana nya jadi ngeri kaya tempat mati
2020-04-10T19:06:57Z;September;Aneh..Kenapa jadi kepala daerah yg action//<br>Pemerintah, dibelakang layar..<br>Ntar kalo berhasil.. nge_Claim.. <br>kalo gagal di jorogin...
2020-04-10T18:58:58Z;September;Pak Anies itu loh udah dipancing pancing ngga mau juga nyalah nyalahin orang.
2020-04-10T18:56:59Z;September;Banyakan  ngomong Kapan kerjanya?  Sementara orang pd tewas rumah sakit penuh.Pembawa acara malah ngabsen pejabat happy dipanggil Mas kang...serasa suami.  Pesan untuk rakyat plinplan some ngawur , data ecek2 di paparkan. Indonesia dijadikan time bomb
2020-04-10T18:55:03Z;September;Nasib ojol diperhatiin tapi nasib rakyat bawah gak diperhatiin buat nyari nafkah.. padahal dampak PSBB juga berdampak lebih parah buat pedagang kecil<br>Ada apa dgn ojol ? Apa karna ojol punya media sedangkan yg nyari nafkah manual gak ada medianya ?
2020-04-10T18:54:55Z;September;Harusnya psbb seleruh indonesia sih, misal kalau do Jabodetabek sudah selesai, tapi di daerah lain masih ada, berarti Indonesia masih terancam, pak Jokowi, saya berharap anda bergerak cepat, korban sudah berjatuhan, pahlawan medis sudah berguguran, jangan beratkan materi diatas kemanusiaan.
2020-04-10T18:53:16Z;September;Semoga wabah ini cpt selesai jujur sy pribadi was was,sy pelaku usaha kcl sunguh berpengaruh
2020-04-10T18:35:42Z;September;"Hai Tuan yang ada di Jalan Merdeka barat...<br>&quot;TOLONG JANGAN PERNAH MENGELOLA NEGARA DENGAN AMATIRAN&quot;<br>Nanti RAKYAT lho yang akan menanggung akibatnya."
2020-04-10T18:35:40Z;September;"Mau komen bingung....!! Oh ya kira2 apa ya tanggapan kakek tua ma&#39;ruf amin sebagai wapres di NKRI ini tentang virus corona yg melanda bumi pertiwi  ?????"
2020-04-10T18:27:43Z;September;Warga tidak berdosa jadi korban, mayat mayat gelimpangan, dokter, perawat orang orang hebat mati seperti tak ada harganya.dari awal january Seharusnya pemerintah stop semua international flight dan usir semua China communist ke asal nya
2020-04-10T18:22:38Z;September;2 minggu sudah di karantina meninggalkan istri yang lagi hamil  berjuang melawan Covid-19 tetap semangat tim sejawat
2020-04-10T18:18:13Z;September;Hrsnya scala prioritas jgn seperti urus izin menangani situasi darurat
2020-04-10T18:17:06Z;September;penanganan wabah ini berbelit belit karena selalu dikaitkan dengan ekonomi padahal nyawa lebih berarti dari ekonomi nyawa tidak bisa dibeli tapi ekonomi bisa tumbuh kembali saya setuju dengan ahli tata negara bpk rafly harun
2020-04-10T18:10:16Z;September;Mosi tidak percaya pemerintah.... Dan mari kita himbau agar si dukun turun tahkta dari kursi menkes......
2020-04-10T17:37:14Z;September;"Sebenarnya...jika Pemerintah daerah sudah memiliki dan bahkan sanggup secara mandiri dalam penanganan pandemi ini...pemerintah pusat bisa lebih santai...cukup dengan menjaga koordinasi antar pemerintah daerah. dan mempersiapkan sarana yg dibutuhkan secara nasional...<br><br>disini terlihat...perintah pusat seperti &quot;takut kalah pamor&quot; juga sih..."
2020-04-10T17:05:39Z;September;Disini keliatan pemimpin mana yg berisi otaknya. ??????
2020-04-10T16:40:16Z;September;Dari awal pemerintah pusat sdh glabakan dan pada akhir nya pemerintah daerah yg bertindak jadi aman donk pemerintah pusat.
2020-04-10T16:37:49Z;September;"Daripada &quot;BERBELIT&quot; urus corona,,,,,lebih baik meng ANTISIPASI dan  PAHAMI bahwa DUNIA &quot;menyikapi&quot; IKLIM,  ternyata berdampak  terjadinya berbagai BENCANA,,,seperti KEBAKARAN HUTAN, BANJIR,  ANGIN PUTING BELIUNG,,BADAI,  TANAH LONGSOR, GAGAL PANEN,,,Afrika Timur DISERANG JUTAAN BELALANG,,,dan BERKEMBANGnya WABAH PENYAKIT , diantaranya VIRUS  &quot;KELAS DUNIA&quot;,, COVID-19 PANDEMIC,,,!!! JADI, ternyata memelihara LINGKUNGAN ALAM sangat,,sangat PENTING utk KELANGSUNGAN HIDUP umat manusia di DUNIA ini,,!!,,,jadi umat manusia   SELAMA nya HARUS DISIPLIN menjaga KESEIMBANGAN LINGKUNGAN ALAM,,termasuk  mengANTISIPASI keMUNGKINan  sekali waktuTERJADI  lagi banyak MACAM2 bencana alam sbg akibat  terjadi BADAI MATAHARI,,!!"
2020-04-10T16:36:05Z;September;jelas pusat tak serius utk cegah corona. krn bandara dibuka  dernaga dibuka....
2020-04-10T16:33:56Z;September;Kok masih kaya orang baru aja tinggal di negara +62 mang baru tau birokrasi  berbelit ada duit aja lama apa lagi ga pake duit cuma pake darurat ?? ?? ?? ?? ??
2020-04-10T16:33:47Z;September;D mn janji reformasi birokrasi?? Apa cuma berlalku d pengrusan ktp dan administrasi publik aja?? Atau tergantung kepentingan???
2020-04-10T16:31:04Z;September;tadi sy lewat di pasar kebayoran lama masih banyak pedagang sayur yg tdk memakai masker, sy harap lebih tegas lagi jangan sampai anggaran yg di keluarkan untuk PSBB itu sia2 karena masih banyak masyarakat yg tdk mematuhi aturan
2020-04-10T16:30:02Z;September;Sekarang saatnya ujian kecerdasan pemimpin yg sebenarnya.nanti masyarakat tahu sendiri secara jelas dari hadil kerjanys
2020-04-10T16:18:21Z;September;Bukan berbelit tapi longa longo alias bingung karena tak kada money
2020-04-10T16:15:45Z;September;Sebaiknya kembali keaturan semula ojol dilarang membawa penumpang sesuai dg penerapan yg terjadi tgl 10 dimana Ojol telah di tolak masuk jakarta jika ada penumpang. Atau jika ada kesalahan diaturan sebaiknya di refisi secara formal dan tulisan biar aparat kepolisian dan satpol PP tidak berantem dg masyarakat
2020-04-10T16:15:41Z;September;"Pak Wiku jauh lebih cocok jadi Menteri Kesehatan dibanding Pak Terawan, penjelasannya jauh lebih baik, tidak menyesatkan &amp; mudah di pahami oleh masyarakat. Dan semangat untuk Pemerintah Daerah yang jauh lebih sigap menangani pandemi ini. Semoga momen seperti ini bisa jadi bahan pembelajaran untuk Pemerintah Pusat yang birokrasinya bertele-tele, tidak efisien &amp; kompeten, padahal tinggal nyontek yang sudah di implementasi negara seperti Taiwan &amp; Korea Selatan."
2020-04-10T16:08:30Z;September;"tanpa kita sadari corona memberi contoh kita.... &quot; tanpa berbicara.. banyak kerja ...kerja cepat sudah sampai keliling dunia &quot; ...thanks god...pelajaran yg sangat luar biasa"
2020-04-10T16:07:25Z;September;"Kasian sebnr nya klo liat para pemerintah yg bnr2 udh tulus ikhlas bertgg jwb berusaha menjaga &amp; melindungi rakyat nya. Tp kadang rakyat nya sulit skl utk di himbau apalg di larang, terlebih klo urusan nya udh soal kebutuhan hdp yg memang urgent. Smua rakyat jg sy yakin bngt mau taat aturan diem2 di rmh klo urusan mkn mereka ada yg menanggung nya. Sy yakin kok smua nya jg sebnr nya takut utk keluar rmh dengan ada virus ini. Tp apa mau di kata klo udh bicara soal kebutuhan hdp &amp; ga ada yg bs menanggung smua itu secara maksimal, pd akhir nya beginilah jd nya. Klopun kita saling menyalahkan, ga akan menyelesaikan mslh jg. Pd akhir nya menrt sy yg memang org awam nih ya, utk para pemerintah yg memang bs sll amanah dlm menjlnkan tugas nya maka jlnkan smua nya dengan sebaik mungkin &amp; Lillaahi Ta&#39;alaa. Utk rakyat yg memang sdh paham mana yg baik &amp; mana yg tdk ya silahkan di pertimbangkan sndr klo mau melakukan sesuatu. Kita udh sm2 tau &amp; bs beljr dr wuhan, jd pasti nya kita jg udh sm2 tau apa efek nya klo kita smua sll slh2 dlm berkelakuan. Klo ada yg pny prinsip mati ya tinggal di kubur, udh tau kan yaa klo gegara virus ini sampe pengurusan jenazah nya aja ribet bngt. Jgnkan jenazah nya, msh jd pasien QIF19 aja udh ngerepotin 3 tenaga medis jatah utk 1 pasien yg terpapar. Jd ayolah kita sm2 smart thinking utk bs berdoa &amp; berusaha agar segera Allah cabut ujian Qif19 ini &amp; kehdpn kita bs berjln normal kembali. Sy doakan smua nya sll dlm lindungan Allah SWT. Aamiin Yaa Mujiib"
2020-04-10T16:06:16Z;September;Kualitas pemimpin bisa dilihat dr cara dia dlam mngambil.keputusan..ato kebijakan
2020-04-10T15:58:56Z;September;Berbelit dengan corona, motor ga boleh boncengan 2 harus 1orang sekali cuma 1 orang begal yang mengintai, kudu piye iki harus melawan virus dan sesama kita sendiri
2020-04-10T15:58:01Z;September;"Dulu <b>gak sedikit yang nyinyir pak Anies</b> <br>Sekarang terbukti pa anies hanya melakukan itu utk <b>menyelamatkan rakyatnya</b> <br><br>Netizen <b>GOB&amp;ok</b>"
2020-04-10T15:57:57Z;September;"kenapa setengah&quot; ya ngurusnya? kan jadinya makin lama dan makin miskin dompet ini udh sebulan lebih enggak kerja<br>:("
2020-04-10T15:49:23Z;September;Berat bgt beban dan tanggung jawab yg harus dipikul pak anies...sementara yg  yg seharusnya mengemban amanah sibuk cengengesan prank sana prank sini
2020-04-10T15:43:06Z;September;Yg komen disini rata2 suka nyalahin orang, bukan nya bantu. Eh malah bully hadih parah, 1 perbuatan lebih baik dari 1000 kata
2020-04-10T15:41:26Z;September;ngga ada ujung berbelit2...<br>kbnyakan masukan tanpa ada tujuan jelas<br>mungkin nunggu wabah sudah ngalahin wuhan baru ada saling ngalah dan waktuuu sudah terlambat
2020-04-10T15:39:04Z;September;Walau pimpinan pemerintahan pusat berkerja lambat dan bodoh serta politak politik melulu, tetapi pemerintah DKI Jakarta bapak Anies Baswedan, dan daerah lainnya seperti pak Ridwan Kamil bekerja dengan baik.<br><br>Pemimpin sejati muncul di saat musibah, bukan di saat NGUTANG!
2020-04-10T15:37:06Z;September;Dengan cara kerja pemerintah yang masih mengandalkan administrasi yang berbelit belit kita diketawaan sama corona, pemerintah dan seluruh rakyat indonesia ayo kita bersatu melawan corona, kalau tidak ini BOM MAUT buat bangsa kita??????????
2020-04-10T15:34:54Z;September;Saat corona ini selesai , anies yg bekerja keras, yg claim biasanya pemerintah pusat ??.
2020-04-10T15:32:59Z;September;Bukan hanya suka hutang, korupsi, soal penyakit saja kok di korupsi juga. Heran dengan rezim ini
2020-04-10T15:30:03Z;September;Intinya mah pemda udah jerit2, pempus sans2 aja
2020-04-10T15:28:45Z;September;Kesimpulanya,.. berawal dari kepemimpinan yang amatiran mau diteruskan juga bakal masuk paret, naik mobil masuk jurang, naik kapal karam dipulau reklamasi, naik pesawat kemudian meroket sampai terhempas...tul gak...bruakakakakakakakaka...
2020-04-10T15:27:28Z;September;Pemerintahan ini harus jujur mengakui ketinggalan jauh dengan kecepatan wabah corona, jadi tugas pemerintah biar bisa kita mengalahkan wabah corona pemerintah dan masyarakat indonesia harus mencari strategi dengan kecepatan yang tinggi, saran saya buat pak jokowi dana pemindahan ibukota ditunda dan dialihkan untuk menangani wabah ini, kalau dengan cara PSBB saya pesimis pemerintah bisa mengejar ketinggalan yang jauh, diperlukan pemimpin yang revolusioner????????
2020-04-10T15:26:13Z;September;Mbak najwa semakin cerdas dan peka terhadap problem sosial
2020-04-10T15:24:01Z;September;Darurat, tp birokrasi nya masih panjang. Darurat nya dmn?
2020-04-10T15:20:51Z;September;Saya masih kepikiran, kenapa rumah sakit khusus corona malah dibangun diluar episentrum virus ini, kok malah dibangung dipulau galang, riau kagak di jabodetabek kan episentrumnya disitu, jadi apakah akan sia sia bangun rumah sakit itu?
2020-04-10T15:20:33Z;September;Tidak di monetisasi. Salut tanpa iklan
2020-04-10T15:17:15Z;September;Udah jokowi mundur aja...  Lah..  Udah ngak becus menyelamatkan rakyatnya..
2020-04-10T15:14:51Z;September;Sikap dan perbuatan Pemimpin yg pas ditengah KEBHINIKAAN di NKRI ini
2020-04-10T15:13:12Z;September;Ditanya kemana jawabnya kemana~
